datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,396.5,10.1,,52.1,
2024-01-29 08:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,409.6,11.7,,48.9,
2024-01-29 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,442.9,13.1,,54.5,
2024-01-29 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,437.2,11.1,,50.4,
2024-01-30 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,494.8,11.4,,46.4,
2024-01-30 02:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,731.8,12.6,,55.6,
2024-01-30 03:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,661.7,12.0,,51.2,
2024-01-30 04:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,635.3,13.0,,43.9,
2024-01-30 06:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,695.9,17.2,,41.1,
2024-01-30 07:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,781.6,20.2,,48.9,
2024-01-30 08:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,772.7,19.2,,52.8,
2024-01-30 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,836.0,17.7,,36.2,
2024-01-30 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,718.5,14.7,,41.2,
2024-01-31 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,813.8,15.3,,41.4,
2024-01-31 02:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,1097.7,16.3,,62.2,
2024-01-31 03:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,906.2,16.7,,51.3,
2024-01-31 04:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,704.8,16.2,,41.8,
2024-01-31 06:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,754.7,16.5,,48.0,
2024-01-31 07:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,765.5,14.6,,52.1,
2024-01-31 08:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,953.6,20.7,,70.3,
2024-01-31 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,1609.1,22.0,,45.1,
2024-01-31 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,978.1,14.0,,52.4,
2024-02-02 11:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,850.6,15.2,,34.9,
2024-02-02 12:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,758.4,16.1,,30.2,
2024-02-02 13:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,692.5,15.2,,25.1,
2024-02-02 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,222.8,9.1,,31.8,
2024-02-02 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,284.5,10.5,,27.6,
2024-02-03 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,468.8,14.7,,23.8,
2024-02-03 01:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,1333.6,17.6,,22.1,
2024-02-03 02:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,860.0,13.5,,15.8,
2024-02-03 03:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,730.5,14.4,,19.0,
2024-02-03 06:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,876.1,14.8,,,
2024-02-03 07:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,794.3,13.3,,25.1,
2024-02-03 08:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,604.9,11.0,,27.2,
2024-02-04 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,127.2,6.0,,29.2,
2024-02-04 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,214.8,9.0,,23.0,
2024-02-05 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,432.4,13.2,,18.7,
2024-02-05 01:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,1144.9,14.3,,25.0,
2024-02-05 02:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,781.4,13.3,,32.1,
2024-02-05 03:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,677.6,13.3,,24.9,
2024-02-05 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,345.8,7.7,,27.0,
2024-02-05 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,401.1,10.8,,23.5,
2024-02-06 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,524.9,10.1,,24.4,
2024-02-06 02:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,1013.4,11.9,,32.1,
2024-02-06 03:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,924.1,11.7,,21.1,
2024-02-06 04:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,825.3,12.9,,24.8,
2024-02-06 06:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,968.6,14.8,,25.8,
2024-02-06 07:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,797.7,13.4,,40.2,
2024-02-06 08:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,840.4,13.4,,34.6,
2024-02-06 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,368.1,6.8,,26.3,
2024-02-06 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,353.1,6.6,,27.3,
2024-02-07 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,372.0,6.4,,24.1,
2024-02-07 11:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,473.1,8.2,,25.1,
2024-02-07 12:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,430.2,7.0,,20.2,
2024-02-07 13:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,418.7,6.7,,18.6,
2024-02-07 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,234.7,5.2,,8.0,
2024-02-07 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,249.2,5.3,,6.2,
2024-02-08 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,273.6,5.3,,7.0,
2024-02-08 07:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,372.4,5.7,,12.4,
2024-02-08 08:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,439.0,6.3,,16.3,
2024-02-08 09:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,497.2,6.8,,26.1,
2024-02-08 22:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,183.0,4.8,,14.2,
2024-02-08 23:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,206.4,4.7,,12.5,
2024-02-09 00:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,211.4,4.8,,10.6,
2024-02-09 02:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,368.3,5.7,,32.1,
2024-02-09 03:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,345.5,5.4,,22.6,
2024-02-09 04:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,300.7,5.2,,18.6,
2024-02-09 11:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,530.2,7.6,,26.3,
2024-02-09 12:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,613.9,9.4,,32.8,
2024-02-09 13:00:00+00:00,2161318,Tứ Liên,21.0639,105.8338,596.7,7.9,,40.2,
